word,freq,english,german,sound,spell
ɡəvɪçt,1,0,1,1,0
ɡəvɪnen,1,0,1,1,0
ɡəzɪçt,1,0,1,1,0
ɡlʏklɪç,1,0,1,1,0
ɡʁʊpe,1,0,1,1,0
haːbm,1,0,1,1,0
haːfn,1,0,1,1,0
haltn,1,0,1,1,0
handl,1,0,1,1,0
haɔptʃtat,1,0,1,1,0
hɪlfe,1,0,1,1,0
hɪml,1,0,1,1,0
hɪntɐ,1,0,1,1,0
hɪnvaɛs,1,0,1,1,0
høːʁen,1,0,1,1,0
hʊndɐt,1,0,1,1,0
ɪnstʁumɛnt,1,0,1,1,0
ɪnteʁɛse,1,0,1,1,0
ʝeːdɐ,1,0,1,1,0
ʝʊŋe,1,0,1,1,0
kaɔfn,1,0,1,1,0
katse,1,0,1,1,0
kɛlte,1,0,1,1,0
køːnɪç,1,0,1,1,0
kœnte,1,0,1,1,0
kœʁpɐ,1,0,1,1,0
kʏste,1,0,1,1,0
kapitɛːn,1,0,1,1,0
klase,1,0,1,1,0
klɪŋen,1,0,1,1,0
kopiː,1,0,1,1,0
kɔnzonant,1,0,1,1,0
kʁavate,1,0,1,1,0
kvotsiɛnt,1,0,1,1,0
laːɡɐ,1,0,1,1,0
laɛste,1,0,1,1,0
lasn,1,0,1,1,0
leːbm,1,0,1,1,0
leːɡŋ,1,0,1,1,0
lɛtste,1,0,1,1,0
liːbe,1,0,1,1,0
liːnie,1,0,1,1,0
lɪste,1,0,1,1,0
lyːɡe,1,0,1,1,0
lokaliziːʁen,1,0,1,1,0
maɛle,1,0,1,1,0
maɛne,1,0,1,1,0
manʃaft,1,0,1,1,0
mantl,1,0,1,1,0
maʁke,1,0,1,1,0
mase,1,0,1,1,0
maxn,1,0,1,1,0
meːʁeʁe,1,0,1,1,0
mɛŋe,1,0,1,1,0
mɛʁkŋ,1,0,1,1,0
mɛsn,1,0,1,1,0
mɪʃn,1,0,1,1,0
mɪte,1,0,1,1,0
møːklɪç,1,0,1,1,0
moːtoːɐ,1,0,1,1,0
mʊtɐ,1,0,1,1,0
mʏsn,1,0,1,1,0
maɡneːt,1,0,1,1,0
maʃiːne,1,0,1,1,0
mateːʁie,1,0,1,1,0
metal,1,0,1,1,0
minuːte,1,0,1,1,0
mɪlioːn,1,0,1,1,0
momɛnt,1,0,1,1,0
muziːk,1,0,1,1,0
naːze,1,0,1,1,0
naxbaːʁ,1,0,1,1,0
nɛːe,1,0,1,1,0
noːmen,1,0,1,1,0
nɔʁdn,1,0,1,1,0
natuːɐ,1,0,1,1,0
paɔze,1,0,1,1,0
pasn,1,0,1,1,0
papiːɐ,1,0,1,1,0
pasiːʁen,1,0,1,1,0
pɛʁzoːn,1,0,1,1,0
pflʏkŋ,1,0,1,1,0
plaɛte,1,0,1,1,0
pʁaksɪs,1,0,1,1,0
pʁyːfʊŋ,1,0,1,1,0
pʁodʊkt,1,0,1,1,0
pʁodutsiːʁen,1,0,1,1,0
pʁotokɔliːʁen,1,0,1,1,0
ʁaɛe,1,0,1,1,0
ʁaɛze,1,0,1,1,0
ʁiːzɪç,1,0,1,1,0
ʁɔle,1,0,1,1,0
ʁuːɪç,1,0,1,1,0
ʁeɡiːʁen,1,0,1,1,0
ʁeɡioːn,1,0,1,1,0
sklaːve,1,0,1,1,0
ʃaːle,1,0,1,1,0
ʃafn,1,0,1,1,0
ʃiːne,1,0,1,1,0
ʃøːnhaɛt,1,0,1,1,0
ʃʏtsn,1,0,1,1,0
ʃlaːɡŋ,1,0,1,1,0
ʃlʏsl,1,0,1,1,0
ʃpaɛçɐ,1,0,1,1,0
ʃpʁaːxe,1,0,1,1,0
ʃpʁɪŋen,1,0,1,1,0
ʃtaɛɡŋ,1,0,1,1,0
ʃteːen,1,0,1,1,0
ʃtɛle,1,0,1,1,0
ʃtɛʁbm,1,0,1,1,0
ʃtɪme,1,0,1,1,0
ʃtuːdie,1,0,1,1,0
ʃtʊnde,1,0,1,1,0
ʃtatsioːn,1,0,1,1,0
ʃtʁaːse,1,0,1,1,0
ʃvɛstɐ,1,0,1,1,0
ʃviːʁɪç,1,0,1,1,0
ʃvɪmen,1,0,1,1,0
taɔznt,1,0,1,1,0
teːmaː,1,0,1,1,0
toːnhøːe,1,0,1,1,0
tøːtn,1,0,1,1,0
tabɛle,1,0,1,1,0
tʁɛfn,1,0,1,1,0
tʁɛnen,1,0,1,1,0
tʁɔkŋ,1,0,1,1,0
tʁɔœmen,1,0,1,1,0
tsaɛɡŋ,1,0,1,1,0
tsiːen,1,0,1,1,0
tsɪmɐ,1,0,1,1,0
tsʊkɐ,1,0,1,1,0
tsuːhaɔze,1,0,1,1,0
tsuːzamen,1,0,1,1,0
tsvantsɪç,1,0,1,1,0
tsvɪʃn,1,0,1,1,0
ʊntɐʃtʏtsʊŋ,1,0,1,1,0
vaːʁen,1,0,1,1,0
vaːʁʊm,1,0,1,1,0
vaksn,1,0,1,1,0
veːɐdn,1,0,1,1,0
vɛle,1,0,1,1,0
vɛʁbʊm,1,0,1,1,0
vɛʁfn,1,0,1,1,0
vɛtɐ,1,0,1,1,0
viːdɐ,1,0,1,1,0
viːdeʁʊm,1,0,1,1,0
vɪntsɪç,1,0,1,1,0
vɪʁkʊŋ,1,0,1,1,0
vɪsn,1,0,1,1,0
vɪsnʃaft,1,0,1,1,0
vœʁtɐbuːx,1,0,1,1,0
vʊʁtsl,1,0,1,1,0
vyːste,1,0,1,1,0
zaɛne,1,0,1,1,0
zaɛte,1,0,1,1,0
zaɔbɐ,1,0,1,1,0
zeːen,1,0,1,1,0
zeːɡl,1,0,1,1,0
zɛːɡe,1,0,1,1,0
zɛndn,1,0,1,1,0
zɪŋen,1,0,1,1,0
zɪtsn,1,0,1,1,0
zɔmɐ,1,0,1,1,0
zuːxn,1,0,1,1,0
zʊfɪks,1,0,1,1,0
